Provinsi_Asal,Provinsi_Tujuan,lag_hari,p_value_raw,kontrol,n_observasi,jenis_pasangan,p_value_terkoreksi,signifikan,kekuatan_tambahan_R2
Jawa Tengah,Nusa Tenggara Barat,1,4.969689411954281e-05,dengan_kontrol,574,distribusi,0.0001688951859368,True,0.024933419864794137
Sulawesi Selatan,Sulawesi Utara,7,0.0107188315871871,dengan_kontrol,574,distribusi,0.0199205285885106,True,0.024927776441506788
DI Yogyakarta,Jawa Tengah,7,0.0165491599906314,dengan_kontrol,574,distribusi,0.0292905486559848,True,0.02472973919516963
Sulawesi Selatan,Kalimantan Timur,3,4.318990057135981e-05,dengan_kontrol,574,distribusi,0.0001501205737874,True,0.024439083715943943
Nusa Tenggara Barat,Sulawesi Tengah,3,0.00619529727022,dengan_kontrol,574,distribusi,0.0124466501031291,True,0.024268002143403744
Kalimantan Tengah,Kalimantan Barat,1,0.0030724324139941,dengan_kontrol,574,distribusi,0.006729062819551,True,0.022708506817448182
Jawa Timur,DKI Jakarta,3,0.0051250732439347,dengan_kontrol,574,distribusi,0.010677235924864,True,0.022512433433837353
DI Yogyakarta,DKI Jakarta,3,0.0027291611523663,dengan_kontrol,574,distribusi,0.0061329464098119,True,0.021698329212841982
Jawa Timur,Sumatera Utara,1,0.002159888528905,dengan_kontrol,574,distribusi,0.0049368880660687,True,0.021217968076998828
Sulawesi Selatan,Jawa Timur,3,0.0031081953819433,dengan_kontrol,574,distribusi,0.0067569464824855,True,0.02120014214593169
Jawa Timur,Lampung,3,8.596932448091593e-06,dengan_kontrol,574,distribusi,3.6488906643848167e-05,True,0.01944522018366912
Nusa Tenggara Barat,Jawa Timur,3,0.0012770786991955,dengan_kontrol,574,distribusi,0.0030772980703508,True,0.016272258176756038
Sulawesi Selatan,Maluku,3,0.0017926438713712,dengan_kontrol,574,distribusi,0.004217985579697,True,0.01517014366750169
Sumatera Utara,Sumatera Barat,1,8.077838172824362e-06,dengan_kontrol,574,distribusi,3.4743389990642416e-05,True,0.013542516118758674
Bali,Jawa Timur,1,0.010806886759267,dengan_kontrol,574,distribusi,0.0199205285885106,True,0.0121470547720135
DI Yogyakarta,Jawa Timur,3,0.0073024092345214,dengan_kontrol,574,distribusi,0.0143184494794537,True,0.011108594989488907
Jawa Barat,Sumatera Barat,3,0.0005282800946442,dengan_kontrol,574,distribusi,0.0013721560899851,True,0.010177137239472889
Jawa Timur,Jawa Tengah,1,2.0782857541037033e-08,dengan_kontrol,574,distribusi,1.7687538332797474e-07,True,0.00792186223243263
Jawa Tengah,Sumatera Barat,1,0.0004312871527582,dengan_kontrol,574,distribusi,0.0011735704836959,True,0.006988344722745676
Sulawesi Selatan,Kalimantan Tengah,1,0.0041833869266636,dengan_kontrol,574,distribusi,0.0088537289453198,True,0.006286521042844662
Nusa Tenggara Barat,Jawa Tengah,1,0.0131022003212148,dengan_kontrol,574,distribusi,0.0235646630554803,True,0.006271497652805547
DKI Jakarta,Lampung,1,0.0210604511393589,dengan_kontrol,574,distribusi,0.036155280925938,True,0.0036062428055797513
