Provinsi,Tanggal,Curah_Hujan_mm
Jawa Timur,2023-01-04,3.68290480260168
Kalimantan Barat,2023-01-04,7.255280208932726
Kalimantan Selatan,2023-01-04,9.204572998368125
Kalimantan Tengah,2023-01-04,4.672818672800189
Kalimantan Timur,2023-01-04,7.287857920268021
Lampung,2023-01-04,10.411041361904497
Nusa Tenggara Barat,2023-01-04,0.0079908115705778
Nusa Tenggara Timur,2023-01-04,1.0961677188183496
Sulawesi Tengah,2023-01-04,2.127997371395114
Sulawesi Tenggara,2023-01-04,5.133377044753284
Sumatera Barat,2023-01-04,8.799774389460035
Sumatera Utara,2023-01-04,6.478314981725533
Maluku,2023-01-05,4.198743642542764
Maluku Utara,2023-01-05,5.147652768265379
Kepulauan Bangka Belitung,2023-01-05,3.547227419468014
Banten,2023-01-05,0.8952014789128767
Gorontalo,2023-01-05,2.3153446043297627
Papua Barat,2023-01-05,11.86244072363822
Jawa Barat,2023-01-05,6.411799764293733
Papua,2023-01-05,12.490172428826108
Sulawesi Utara,2023-01-05,0.9074383323972052
Sumatera Selatan,2023-01-05,4.581819924222939
Kepulauan Riau,2023-01-05,4.965740513007919
Riau,2023-01-05,6.347559951299655
Sulawesi Barat,2023-01-05,3.421615682857697
Sulawesi Selatan,2023-01-05,5.900696242501685
Aceh,2023-01-05,3.886047698444095
Bali,2023-01-05,0.0009275275320252028
DI Yogyakarta,2023-01-05,3.179894077444949
DKI Jakarta,2023-01-05,0.0
Jambi,2023-01-05,3.804771990328086
Jawa Tengah,2023-01-05,7.966471810926263
Jawa Timur,2023-01-05,2.10597552727554
Kalimantan Barat,2023-01-05,4.8874758987947695
Kalimantan Selatan,2023-01-05,4.769368856266639
Kalimantan Tengah,2023-01-05,3.7871640703041223
Kalimantan Timur,2023-01-05,8.072529985322738
Lampung,2023-01-05,6.269061087818767
Nusa Tenggara Barat,2023-01-05,0.0046498513826108
Nusa Tenggara Timur,2023-01-05,7.43705156001639
Sulawesi Tengah,2023-01-05,1.7751035987138195
Sulawesi Tenggara,2023-01-05,3.5395557263304984
Sumatera Barat,2023-01-05,3.980607838590712
Sumatera Utara,2023-01-05,5.97699798232198
Maluku,2023-01-06,7.297423085232386
Maluku Utara,2023-01-06,14.52742396609872
Kepulauan Bangka Belitung,2023-01-06,1.617710186334874
Banten,2023-01-06,0.491311697480695
Gorontalo,2023-01-06,7.873524923003158
Papua Barat,2023-01-06,8.136825935675562
Jawa Barat,2023-01-06,3.4194932246527183
Papua,2023-01-06,12.310520924394265
Sulawesi Utara,2023-01-06,8.16239581634593
