Provinsi,Tahun_Raw,LuasPanen,Tahun
Sumatera Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2024,118.32,2024
Sumatera Utara,Luas Panen Bawang Merah (hektar) (Ha) 2024,3861.34,2024
Aceh,Luas Panen Bawang Merah (hektar) (Ha) 2023,1474.0,2023
Bali,Luas Panen Bawang Merah (hektar) (Ha) 2023,1142.0,2023
Banten,Luas Panen Bawang Merah (hektar) (Ha) 2023,131.0,2023
DI Yogyakarta,Luas Panen Bawang Merah (hektar) (Ha) 2023,2980.0,2023
DKI Jakarta,Luas Panen Bawang Merah (hektar) (Ha) 2023,0.0,2023
Gorontalo,Luas Panen Bawang Merah (hektar) (Ha) 2023,37.0,2023
Jambi,Luas Panen Bawang Merah (hektar) (Ha) 2023,2128.0,2023
Jawa Barat,Luas Panen Bawang Merah (hektar) (Ha) 2023,16010.0,2023
Jawa Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2023,46795.0,2023
Jawa Timur,Luas Panen Bawang Merah (hektar) (Ha) 2023,51016.0,2023
Kalimantan Barat,Luas Panen Bawang Merah (hektar) (Ha) 2023,38.0,2023
Kalimantan Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2023,88.0,2023
Kalimantan Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2023,17.0,2023
Kalimantan Timur,Luas Panen Bawang Merah (hektar) (Ha) 2023,59.0,2023
Kalimantan Utara,Luas Panen Bawang Merah (hektar) (Ha) 2023,11.0,2023
Kepulauan Bangka Belitung,Luas Panen Bawang Merah (hektar) (Ha) 2023,32.0,2023
Kepulauan Riau,Luas Panen Bawang Merah (hektar) (Ha) 2023,6.0,2023
Lampung,Luas Panen Bawang Merah (hektar) (Ha) 2023,300.0,2023
Maluku,Luas Panen Bawang Merah (hektar) (Ha) 2023,180.0,2023
Maluku Utara,Luas Panen Bawang Merah (hektar) (Ha) 2023,235.0,2023
Nusa Tenggara Barat,Luas Panen Bawang Merah (hektar) (Ha) 2023,19031.0,2023
Nusa Tenggara Timur,Luas Panen Bawang Merah (hektar) (Ha) 2023,1406.0,2023
Papua,Luas Panen Bawang Merah (hektar) (Ha) 2023,7.0,2023
Papua Barat,Luas Panen Bawang Merah (hektar) (Ha) 2023,139.0,2023
Riau,Luas Panen Bawang Merah (hektar) (Ha) 2023,74.0,2023
Sulawesi Barat,Luas Panen Bawang Merah (hektar) (Ha) 2023,500.0,2023
Sulawesi Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2023,16441.0,2023
Sulawesi Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2023,585.0,2023
Sulawesi Tenggara,Luas Panen Bawang Merah (hektar) (Ha) 2023,198.0,2023
Sulawesi Utara,Luas Panen Bawang Merah (hektar) (Ha) 2023,547.0,2023
Sumatera Barat,Luas Panen Bawang Merah (hektar) (Ha) 2023,15427.0,2023
Sumatera Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2023,165.0,2023
Sumatera Utara,Luas Panen Bawang Merah (hektar) (Ha) 2023,4296.0,2023
Aceh,Luas Panen Bawang Merah (hektar) (Ha) 2022,1236.0,2022
Bali,Luas Panen Bawang Merah (hektar) (Ha) 2022,1279.0,2022
Banten,Luas Panen Bawang Merah (hektar) (Ha) 2022,202.0,2022
DI Yogyakarta,Luas Panen Bawang Merah (hektar) (Ha) 2022,2439.0,2022
DKI Jakarta,Luas Panen Bawang Merah (hektar) (Ha) 2022,1.0,2022
Gorontalo,Luas Panen Bawang Merah (hektar) (Ha) 2022,94.0,2022
Jambi,Luas Panen Bawang Merah (hektar) (Ha) 2022,2125.0,2022
Jawa Barat,Luas Panen Bawang Merah (hektar) (Ha) 2022,17390.0,2022
Jawa Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2022,53593.0,2022
Jawa Timur,Luas Panen Bawang Merah (hektar) (Ha) 2022,51607.0,2022
Kalimantan Barat,Luas Panen Bawang Merah (hektar) (Ha) 2022,26.0,2022
Kalimantan Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2022,47.0,2022
Kalimantan Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2022,25.0,2022
Kalimantan Timur,Luas Panen Bawang Merah (hektar) (Ha) 2022,25.0,2022
Kalimantan Utara,Luas Panen Bawang Merah (hektar) (Ha) 2022,3.0,2022
Kepulauan Bangka Belitung,Luas Panen Bawang Merah (hektar) (Ha) 2022,16.0,2022
Kepulauan Riau,Luas Panen Bawang Merah (hektar) (Ha) 2022,7.0,2022
Lampung,Luas Panen Bawang Merah (hektar) (Ha) 2022,235.0,2022
Maluku,Luas Panen Bawang Merah (hektar) (Ha) 2022,203.0,2022
Maluku Utara,Luas Panen Bawang Merah (hektar) (Ha) 2022,251.0,2022
Nusa Tenggara Barat,Luas Panen Bawang Merah (hektar) (Ha) 2022,18742.0,2022
