Tanggal,Provinsi,Harga,delta_1h,pct_change_1h,z_score_30h,median_nasional_hari_itu,selisih_nasional,skor_anomali
2023-01-25,Aceh,22500.0,-3250.0,-12.621359223300976,-4.00693842672377,0.0,-12.621359223300976,0.7458088682212777
2023-01-26,Aceh,22500.0,0.0,0.0,-2.8377159087807526,0.0,0.0,0.43924016821234974
2023-01-27,Aceh,22500.0,0.0,0.0,-2.3202011407059797,0.0,0.0,0.4018690947048847
2023-01-30,Aceh,22500.0,0.0,0.0,-2.011869540407391,0.0,0.0,0.37049411562935103
2023-01-31,Aceh,22500.0,0.0,0.0,-1.8015145143613311,0.0,0.0,0.3527438953954322
2023-02-01,Aceh,22500.0,0.0,0.0,-1.646251781331226,0.0,0.0,0.34429332832172105
2023-02-02,Aceh,22500.0,0.0,0.0,-1.5255756134590477,0.0,0.0,0.33872516995999297
2023-02-03,Aceh,22500.0,0.0,0.0,-1.42828568570857,0.0,0.0,0.33672672646775387
2023-02-06,Aceh,22500.0,0.0,0.0,-1.3476792334377332,0.5780346820809301,-0.5780346820809301,0.35405786701806524
2023-02-07,Aceh,22500.0,0.0,0.0,-1.2794674818208691,0.0,0.0,0.3359474116710317
2023-02-08,Aceh,22500.0,0.0,0.0,-1.2207619506929845,0.0,0.0,0.33514984469244213
2023-02-09,Aceh,22500.0,0.0,0.0,-1.1695366997037868,0.0,0.0,0.3331812706039653
2023-02-10,Aceh,22500.0,0.0,0.0,-1.124323158216785,0.0,0.0,0.333548914349261
2023-02-13,Aceh,22500.0,0.0,0.0,-1.0510765456244864,-0.36496350364964014,0.36496350364964014,0.3484361942149675
2023-02-14,Aceh,22500.0,0.0,0.0,-0.9831920802501751,0.0,0.0,0.33415265445610914
2023-02-15,Aceh,22500.0,0.0,0.0,-0.919691977421427,0.0,0.0,0.33386566444893223
2023-02-16,Aceh,22500.0,0.0,0.0,-0.8597765327540108,0.0,0.0,0.33434887277526526
2023-02-17,Aceh,22500.0,0.0,0.0,-0.8027729719194864,0.0,0.0,0.33361931624027713
