Provinsi_Asal,Provinsi_Tujuan,lag_hari,p_value_raw,kontrol,n_observasi,jenis_pasangan,p_value_terkoreksi,signifikan
Jawa Barat,DKI Jakarta,3,1.823474943142401e-09,dengan_kontrol,574,distribusi,1.9713242628566498e-08,True
Jawa Barat,DKI Jakarta,7,5.429668983757112e-10,dengan_kontrol,574,distribusi,7.0060244951704675e-09,True
Jawa Barat,DKI Jakarta,14,3.923991926147246e-10,dengan_kontrol,574,distribusi,5.412402656754822e-09,True
Jawa Tengah,DKI Jakarta,1,0.010787673953511835,dengan_kontrol,574,distribusi,0.01992052858851068,True
Jawa Tengah,DKI Jakarta,3,7.418889141677446e-06,dengan_kontrol,574,distribusi,3.225603974642367e-05,True
Jawa Tengah,DKI Jakarta,7,0.00011289080809936963,dengan_kontrol,574,distribusi,0.00036416389709474075,True
Jawa Tengah,DKI Jakarta,14,6.329406203690976e-05,dengan_kontrol,574,distribusi,0.0002109802067896992,True
Jawa Timur,DKI Jakarta,1,0.08406935461820185,dengan_kontrol,574,distribusi,0.12146083273819049,False
Jawa Timur,DKI Jakarta,3,0.005125073243934742,dengan_kontrol,574,distribusi,0.010677235924864047,True
Jawa Timur,DKI Jakarta,7,0.016117910910239217,dengan_kontrol,574,distribusi,0.028654063840425275,True
Jawa Timur,DKI Jakarta,14,0.11234504448511737,dengan_kontrol,574,distribusi,0.15285040066002364,False
Sulawesi Selatan,Gorontalo,1,0.041082501390922455,dengan_kontrol,574,distribusi,0.06394163640610499,False
Sulawesi Selatan,Gorontalo,3,0.08629313169699075,dengan_kontrol,574,distribusi,0.1237177515369043,False
Sulawesi Selatan,Gorontalo,7,0.09556753374699534,dengan_kontrol,574,distribusi,0.13366088635943404,False
Sulawesi Selatan,Gorontalo,14,0.02858985022201086,dengan_kontrol,574,distribusi,0.04725595078018324,True
Jawa Tengah,Jambi,1,0.0010378388471260543,dengan_kontrol,574,distribusi,0.0025784816077665945,True
Jawa Tengah,Jambi,3,0.0003224533756333939,dengan_kontrol,574,distribusi,0.0009147613493145927,True
Jawa Tengah,Jambi,7,2.6236411849543906e-06,dengan_kontrol,574,distribusi,1.2346546752726544e-05,True
Jawa Tengah,Jambi,14,1.2753143348053249e-05,dengan_kontrol,574,distribusi,5.050749840813168e-05,True
Sumatera Barat,Jambi,1,0.02556349679186882,dengan_kontrol,574,distribusi,0.042672638646175945,True
Sumatera Barat,Jambi,3,0.4845385724101309,dengan_kontrol,574,distribusi,0.544425362258574,False
Sumatera Barat,Jambi,7,0.650116981954836,dengan_kontrol,574,distribusi,0.6879544782590857,False
Sumatera Barat,Jambi,14,0.45050279288618567,dengan_kontrol,574,distribusi,0.5148603347270694,False
DI Yogyakarta,Jawa Barat,1,0.15041948195706537,dengan_kontrol,574,distribusi,0.19857357354068036,False
DI Yogyakarta,Jawa Barat,3,0.1263277514832926,dengan_kontrol,574,distribusi,0.1695674516554263,False
DI Yogyakarta,Jawa Barat,7,0.42370682219753275,dengan_kontrol,574,distribusi,0.4884228497954268,False
DI Yogyakarta,Jawa Barat,14,0.13341458758377164,dengan_kontrol,574,distribusi,0.1778861167783622,False
Jawa Tengah,Jawa Barat,1,1.5538936718870893e-07,dengan_kontrol,574,distribusi,9.711835449294308e-07,True
Jawa Tengah,Jawa Barat,3,2.010952442695828e-10,dengan_kontrol,574,distribusi,3.093772988762812e-09,True
Jawa Tengah,Jawa Barat,7,8.160654959512284e-12,dengan_kontrol,574,distribusi,1.7180326230552177e-10,True
Jawa Tengah,Jawa Barat,14,4.465528117945926e-11,dengan_kontrol,574,distribusi,8.119142032628955e-10,True
DI Yogyakarta,Jawa Tengah,1,0.43784322943534115,dengan_kontrol,574,distribusi,0.5018260509287578,False
DI Yogyakarta,Jawa Tengah,3,0.12432183529124645,dengan_kontrol,574,distribusi,0.1674368152070659,False
DI Yogyakarta,Jawa Tengah,7,0.016549159990631418,dengan_kontrol,574,distribusi,0.029290548655984815,True
DI Yogyakarta,Jawa Tengah,14,0.07088210113285569,dengan_kontrol,574,distribusi,0.10423838401890542,False
Jawa Barat,Jawa Tengah,1,7.690689305955376e-16,dengan_kontrol,574,distribusi,3.07627572238215e-14,True
Jawa Barat,Jawa Tengah,3,2.1725154867631496e-12,dengan_kontrol,574,distribusi,5.1118011453250575e-11,True
Jawa Barat,Jawa Tengah,7,1.5876515298614357e-12,dengan_kontrol,574,distribusi,3.969128824653589e-11,True
Jawa Barat,Jawa Tengah,14,1.2111161111751418e-15,dengan_kontrol,574,distribusi,4.4040585860914245e-14,True
Jawa Timur,Jawa Tengah,1,2.078285754103703e-08,dengan_kontrol,574,distribusi,1.7687538332797474e-07,True
Jawa Timur,Jawa Tengah,3,1.0944848422588295e-07,dengan_kontrol,574,distribusi,7.161731554922109e-07,True
Jawa Timur,Jawa Tengah,7,1.2948693920226814e-06,dengan_kontrol,574,distribusi,6.556300719102184e-06,True
Jawa Timur,Jawa Tengah,14,9.385225787515188e-08,dengan_kontrol,574,distribusi,6.472569508631164e-07,True
Nusa Tenggara Barat,Jawa Tengah,1,0.013102200321214891,dengan_kontrol,574,distribusi,0.023564663055480377,True
Nusa Tenggara Barat,Jawa Tengah,3,0.05991709013973408,dengan_kontrol,574,distribusi,0.09060867595409874,False
Nusa Tenggara Barat,Jawa Tengah,7,0.04653640427011062,dengan_kontrol,574,distribusi,0.07104794545055056,False
Nusa Tenggara Barat,Jawa Tengah,14,0.2418772251026262,dengan_kontrol,574,distribusi,0.2988909605890832,False
Bali,Jawa Timur,1,0.010806886759267043,dengan_kontrol,574,distribusi,0.01992052858851068,True
